name,listName,desc,labels
📧 cPanel Üzerinden info@esnovabeton.com E-posta Açılışı,"🌐 Faz 0: Domain, cPanel & E-posta Altyapısı (BUGÜN)","cPanel > E-posta Hesapları > Oluştur adımıyla info@esnovabeton.com, satis@esnovabeton.com ve teklif@esnovabeton.com hesapları açılacaktır.

Kontrol Adımları:
- info@esnovabeton.com açıldı
- satis@esnovabeton.com açıldı
- Gmail yönlendirmesi yapıldı
- Mobil telefon SSL ayarları yapıldı","Altyapı, Kritik"
"☁️ Cloudflare DNS, SSL & DDoS Koruma Entegrasyonu","🌐 Faz 0: Domain, cPanel & E-posta Altyapısı (BUGÜN)","Cloudflare üzerinde hesap açılıp esnovabeton.com eklenecek, NS adresleri domain panosuna girilip 5.180.185.253 IP'si yönlendirilecektir.

Kontrol Adımları:
- Cloudflare hesabı açıldı
- Domain NS adresleri güncellendi
- Ücretsiz SSL aktifleştirildi","Altyapı, Güvenlik"
📁 cPanel public_html Yayın Klasörü Hazırlığı,"🌐 Faz 0: Domain, cPanel & E-posta Altyapısı (BUGÜN)","cPanel Dosya Yöneticisi > /home/esnovabe/public_html içerisindeki eski varsayılan dosyalar temizlenecek, ilk karşılama sayfası yüklenecektir.

Kontrol Adımları:
- Eski index.html temizlendi
- Geçici açılış sayfası yüklendi",Altyapı
🔍 Rakip Beton Firmaları Analizi (Türkiye & Dünya),📌 Faz 1: Marka & Derin Pazarlama Araştırması (1. Gün),"Akçansa, Çimsa, Oyak Beton, Holcim, CEMEX, Heidelberg Materials firmalarının web siteleri, renk paletleri, görsel dilleri ve teklif alma mekanizmaları incelenecektir.

Kontrol Adımları:
- Türk beton devleri web incelemesi
- Küresel beton devleri web incelemesi
- Teklif alma & m³ hesaplayıcı kıyaslaması","Araştırma, Kritik"
🎨 Beton Sektörü Renk Paleti & Psikoloji Raporu,📌 Faz 1: Marka & Derin Pazarlama Araştırması (1. Gün),"Beton grisi (#4A5568), Güven Mavisi (#1E3A8A), Şantiye Turuncusu (#EA580C) ve Çevre Yeşili (#059669) dengesi ve renk psikolojisi raporlanmıştır.

Kontrol Adımları:
- Ana renk seçimi
- Vurgu rengi
- Lucide Icon seti","Tasarım, Kurumsal Kimlik"
🤖 AI_RESEARCH_PROMPTS.md Promptlarının Çalıştırılması,📌 Faz 1: Marka & Derin Pazarlama Araştırması (1. Gün),"ChatGPT, Claude, Perplexity ve Gemini Deep Research araçlarına hazırlanan 4 ana prompt girilecek, derin raporlar toplanacaktır.

Kontrol Adımları:
- Prompt 1 çalıştırıldı
- Prompt 2 çalıştırıldı
- Prompt 3 çalıştırıldı
- Prompt 4 çalıştırıldı","AI Prompt, Araştırma"
✏️ EsnovaBeton Logo & Vektörel Amblem Tasarımı,🎨 Faz 2: Kurumsal Kimlik & Görsel Hafıza (2-3. Gün),"Beton mikseri, sağlamlık geometrisi, küp basınç test simgesi ve dinamik E/B harf yapısıyla akılda kalıcı 3 alternatif amblem çizimi.

Kontrol Adımları:
- Vektörel logo alternatifleri
- Kartvizit & Başlıklı kağıt
- Transmiksör araç giydirme",Kurumsal Kimlik
📐 Tipografi & Slogan (Value Proposition),🎨 Faz 2: Kurumsal Kimlik & Görsel Hafıza (2-3. Gün),"'Geleceğin Sağlam Temelleri', 'Yüksek Dayanım, Zamanında Teslimat' vb. slogan varyasyonları ve modern tipografi.

Kontrol Adımları:
- Kurumsal slogan seçimi
- Font ailesi tanımları
- Kullanım kılavuzu",Kurumsal Kimlik
🏗️ Hero Bölümü & Likit Cam / WebGL Görsel Efektler,💻 Faz 3: Web Sitesi Mimarisi & UI/UX (4-7. Gün),"Kullanıcıyı ilk bakışta büyüleyecek 'WOW Factor' Likit Cam / WebGL parçacık efektli interaktif Hero alanı ve Bento Grid KPI kartları.

Kontrol Adımları:
- Hero alanı tasarımı
- Bento Grid KPI kartları
- 44px dokunma hedefleri","Web Geliştirme, UI/UX"
🧮 İnteraktif Metreküp & Pompa Hesaplayıcı Modülü,💻 Faz 3: Web Sitesi Mimarisi & UI/UX (4-7. Gün),"Müteahhitlerin ve bireysel yapı sahiplerinin en-boy-yükseklik girerek ihtiyaç duyduğu hazır beton miktarını (m³) ve pompa tipini hesaplayan interaktif araç.

Kontrol Adımları:
- Ölçü girdi alanları
- Beton sınıf seçimi (C25/30 - C50/60)
- Teklif al butonu entegrasyonu","Web Geliştirme, Özellik"
