Liste Adı,Kart Adı,Açıklama,Etiketler,Kontrol Listesi Adımları
"🌐 Faz 0: Domain, cPanel & E-posta Altyapısı (BUGÜN)",📧 cPanel Üzerinden info@esnovabeton.com E-posta Açılışı,"cPanel > E-posta Hesapları > Oluştur adımıyla info@esnovabeton.com, satis@esnovabeton.com ve teklif@esnovabeton.com kurumsal hesapları açılacaktır.","Altyapı, Kritik",info@esnovabeton.com oluşturuldu | satis@esnovabeton.com oluşturuldu | E-posta yönlendirmesi kişisel Gmail'e bağlandı | Mobil telefon IMAP/SMTP kurulumu yapıldı
"🌐 Faz 0: Domain, cPanel & E-posta Altyapısı (BUGÜN)","☁️ Cloudflare DNS, SSL & DDoS Koruma Entegrasyonu","Cloudflare üzerinde ücretsiz hesap açılıp esnovabeton.com eklenecek, NS adresleri domain kaydediciye girilip 5.180.185.253 IP'si yönlendirilecektir.","Altyapı, Güvenlik",Cloudflare hesabı oluşturuldu | Domain NS adresleri güncellendi | Ücretsiz SSL ve Edge Caching aktifleştirildi
"🌐 Faz 0: Domain, cPanel & E-posta Altyapısı (BUGÜN)",📁 cPanel public_html Yayın Klasörü Hazırlığı,"cPanel Dosya Yöneticisi > /home/esnovabe/public_html içerisindeki eski varsayılan dosyalar temizlenecek, ilk karşılama sayfası yüklenecektir.",Altyapı,Eski index.html temizlendi | Geçici 'Yakında Hizmetinizde' açılış sayfası eklendi
📌 Faz 1: Marka & Derin Pazarlama Araştırması (1. Gün),🔍 Rakip Beton Firmaları Analizi (Türkiye & Dünya),"Akçansa, Çimsa, Oyak Beton, Holcim, CEMEX, Heidelberg Materials firmalarının web siteleri, renk paletleri, görsel dilleri ve teklif alma mekanizmaları incelenmiştir.","Araştırma, Kritik",Türk beton devleri web incelemesi | Küresel beton devleri web incelemesi | Teklif alma & Metreküp hesaplayıcı kıyaslaması
📌 Faz 1: Marka & Derin Pazarlama Araştırması (1. Gün),🎨 Beton Sektörü Renk Paleti & Psikoloji Raporu,"Beton grisi (#4A5568), Güven Mavisi (#1E3A8A), Şantiye Turuncusu (#EA580C) ve Çevre/Sürdürülebilirlik Yeşili (#059669) dengesi ve renk psikolojisi raporlanmıştır.","Tasarım, Kurumsal Kimlik",Ana renk seçimi (Primary) | Vurgu rengi (Accent) | Endüstriyel ikonografi & Lucide Icon set
📌 Faz 1: Marka & Derin Pazarlama Araştırması (1. Gün),🤖 AI_RESEARCH_PROMPTS.md Promptlarının Çalıştırılması,"ChatGPT, Claude, Perplexity ve Gemini Deep Research araçlarına hazırlanan 4 ana prompt girilecek, derin raporlar toplanacaktır.","AI Prompt, Araştırma",Prompt 1 (Rakip Analizi) çalıştırıldı | Prompt 2 (Renk Stratejisi) çalıştırıldı | Prompt 3 (Web UX & Metreküp Hesaplayıcı) çalıştırıldı | Prompt 4 (360° Pazarlama) çalıştırıldı
🎨 Faz 2: Kurumsal Kimlik & Görsel Hafıza (2-3. Gün),✏️ EsnovaBeton Logo & Vektörel Amblem Tasarımı,"Beton mikseri, sağlamlık geometrisi, küp basınç test simgesi ve dinamik E/B harf yapısıyla akılda kalıcı 3 alternatif amblem çizimi.",Kurumsal Kimlik,Vektörel logo alternatifleri | Kartvizit & Başlıklı Kağıt | Transmiksör & Pompa Araç Giydirme Tasarımı
🎨 Faz 2: Kurumsal Kimlik & Görsel Hafıza (2-3. Gün),📐 Tipografi & Slogan (Value Proposition),"'Geleceğin Sağlam Temelleri', 'Yüksek Dayanım, Zamanında Teslimat' vb. slogan varyasyonları ve modern tipografi (Inter / Outfit / Roboto).",Kurumsal Kimlik,Kurumsal Slogan Seçimi | Font Ailesi Tanımlamaları | Kullanım Kılavuzu (Brand Guidelines)
💻 Faz 3: Web Sitesi Mimarisi & UI/UX (4-7. Gün),🏗️ Hero Bölümü & Likit Cam / WebGL Görsel Efektler,Kullanıcıyı ilk bakışta büyüleyecek 'WOW Factor' Likit Cam / WebGL parçacık efektli interaktif Hero alanı ve Bento Grid KPI kartları.,"Web Geliştirme, UI/UX","Hero Alanı Tasarımı | Bento Grid KPI Kartları (Yıllık Kapasite, Tesis Sayısı, Pompa Parkı) | Mobil Uyumlu 44px Dokunma Hedefleri"
💻 Faz 3: Web Sitesi Mimarisi & UI/UX (4-7. Gün),🧮 İnteraktif Metreküp & Pompa Hesaplayıcı Modülü,Müteahhitlerin ve bireysel yapı sahiplerinin en-boy-yükseklik girerek ihtiyaç duyduğu hazır beton miktarını (m³) ve pompa tipini hesaplayan interaktif araç.,"Web Geliştirme, Özellik","En-Boy-Yükseklik Girdi Alanları | Beton Sınıfı Seçimi (C25/30, C30/37, C35/45, C40/50) | Teklif Al Butonu Entegrasyonu"
